Model,Sharpe_Predicted,Sharpe_Actual
OLS,1.6979531955279876,1.748159233074628
Weighted_Linear_Regression,1.7006070365808303,1.7442571039694181
Huber,1.693178441825,1.7442571039694181
ElasticNet,1.5748322740434257,1.6482337904642295
PCR,1.6979531955279887,1.748159233074628
PLS,1.6979564376752705,1.748159233074628
Spline_ElasticNet,1.6658819137793393,1.6656566650574651
Neural_Network,1.6606884002685547,1.6692601168995136
Gradient_Boosting,1.4341204254899076,1.4331570714495694
Random_Forest,1.103127106334055,1.4327275452031347
